Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
get the job done,,2019-11-01 02:30:56,beadoz,Twitter Web App,1190093836112007168,https://twitter.com/statuses/1190093836112007168
Scientists Now Know How Sleep Cleans Toxins From the Brain - From Discover on Google https://t.co/BRn2gQo4mR,toxins,2019-11-01 02:30:56,Wynnded,FalconPro3 BETA,1190093836426416128,https://twitter.com/statuses/1190093836426416128
"THE RETURN OF THE LIVING DEAD (1985)
Cinematography by Jules Brenner
Directed by Dan O'Bannon
Submitted by @moviemxcabre https://t.co/nu1JxzsNpX",dead,2019-11-01 02:30:56,LessShot,Twitter Web App,1190093836686708736,https://twitter.com/statuses/1190093836686708736
Lynch vs Shayna though at Survivor Series https://t.co/WwsEISiobX,survivor,2019-11-01 02:30:56,MarcsBeauTifuL,Twitter for Android,1190093837538144261,https://twitter.com/statuses/1190093837538144261
Tickets will be on sale until Monday 11 Nov. Get yours now. https://t.co/0pHfo65oOS https://t.co/nxaSO9GptL,,2019-11-01 02:30:56,gutsygirlart,Twitter for iPhone,1190093837357600768,https://twitter.com/statuses/1190093837357600768
I actually wanna cry because I love koala's so so so so much,,2019-11-01 02:30:56,sam_3763,Twitter Web App,1190093838880329728,https://twitter.com/statuses/1190093838880329728
"@KKelller Vitamin D pills, sun lamps, LOT of Oregon sporting events and keeping busy got this SoCal native through it.

You got this. #GoDucks",events,2019-11-01 02:30:56,mbcarnow,Twitter for iPhone,1190093838955634688,https://twitter.com/statuses/1190093838955634688
"@HautemessTom Imagine shouting ""death drop"" the way they scream ""touchdown"". LOL!",death,2019-11-01 02:30:56,ben_literal,Twitter for iPhone,1190093839257817088,https://twitter.com/statuses/1190093839257817088
@GillianHTurner https://t.co/NqYGxyZVHe,,2019-11-01 02:30:56,burakataman0,Twitter Web App,1190093839438163968,https://twitter.com/statuses/1190093839438163968
Adam Schiff’s eyeballs balls bulge out of his head because that’s a side effect from crystal meth.,,2019-11-01 02:30:57,kanewst,Twitter for iPhone,1190093840222498816,https://twitter.com/statuses/1190093840222498816
Vince has dropped Ross at deep mid wicket. He’s moving forward but that’s simple. Does Vince want an international career? That’s pretty poor. And that’s 6! Ross 42 (31). Massive undetected no ball from Jordan too. Dot to reply. 147/4 (19). England closing in here. 2-28 Jordan,massive,2019-11-01 02:30:57,ByTheMinCricket,Twitter for iPhone,1190093840574767104,https://twitter.com/statuses/1190093840574767104
